# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Mon, 31 Aug 2026 03:01:33 +0200
#
# IP	number of (black)lists
#
2.57.121.112	9
62.60.130.201	9
93.174.95.106	9
103.63.101.24	9
193.47.62.69	9
2.57.122.168	8
18.218.118.203	8
62.60.130.242	8
62.60.130.253	8
71.6.199.23	8
77.90.185.20	8
79.72.3.119	8
80.82.77.139	8
103.78.2.252	8
103.205.107.170	8
107.150.97.10	8
163.7.1.156	8
168.144.41.166	8
220.80.223.144	8
2.57.122.238	7
3.130.168.2	7
3.131.220.121	7
35.222.117.243	7
45.148.10.141	7
45.148.10.151	7
45.154.244.193	7
51.75.155.49	7
60.199.224.2	7
64.62.197.137	7
66.132.172.186	7
66.132.186.191	7
66.132.195.55	7
66.132.195.82	7
66.132.195.123	7
66.132.224.232	7
66.240.192.138	7
69.165.75.192	7
71.6.135.131	7
80.82.77.33	7
81.192.46.36	7
83.235.16.111	7
85.239.149.72	7
86.54.31.34	7
88.151.33.203	7
89.21.67.145	7
92.118.39.50	7
94.102.49.193	7
95.173.161.147	7
102.140.97.134	7
102.223.92.101	7
103.48.192.48	7
103.122.2.93	7
113.193.234.210	7
115.191.32.57	7
120.48.90.166	7
129.121.128.70	7
136.232.11.10	7
144.225.6.161	7
144.225.6.182	7
158.51.96.38	7
160.187.247.119	7
167.94.146.52	7
167.94.146.53	7
167.94.146.59	7
167.94.146.60	7
167.94.146.63	7
172.110.223.149	7
182.93.50.90	7
185.93.89.118	7
185.226.197.47	7
190.129.122.185	7
192.248.150.180	7
193.46.255.86	7
193.233.199.37	7
195.178.110.217	7
195.178.110.218	7
197.153.57.103	7
199.45.154.50	7
213.209.159.230	7
222.107.156.227	7
1.212.225.99	6
3.129.187.38	6
4.224.61.94	6
5.181.87.33	6
8.221.139.48	6
12.156.67.18	6
14.29.214.161	6
14.29.240.154	6
14.63.217.28	6
14.103.103.211	6
14.103.117.73	6
14.141.157.218	6
14.177.234.46	6
14.225.173.146	6
18.116.101.220	6
23.94.102.136	6
23.94.145.109	6
23.95.122.72	6
23.95.193.99	6
24.97.253.246	6
24.144.127.194	6
27.8.44.168	6
27.128.171.39	6
27.254.190.148	6
31.58.216.82	6
31.59.89.50	6
31.132.90.3	6
34.22.240.239	6
34.140.103.251	6
34.175.118.185	6
35.203.211.171	6
35.237.94.18	6
36.64.68.99	6
36.64.131.68	6
36.66.16.233	6
36.93.144.67	6
36.137.38.119	6
37.32.6.138	6
37.32.22.70	6
37.57.158.182	6
37.187.35.26	6
38.22.170.10	6
38.132.122.177	6
38.224.49.7	6
40.124.114.216	6
41.33.91.226	6
41.59.202.241	6
41.93.28.9	6
41.93.28.12	6
41.93.28.23	6
41.93.32.40	6
41.111.227.10	6
41.128.181.199	6
41.173.43.34	6
41.204.82.238	6
41.242.115.83	6
42.96.17.249	6
43.128.3.201	6
43.132.207.83	6
43.134.96.20	6
43.153.6.112	6
43.153.205.159	6
43.243.142.42	6
45.116.78.92	6
45.120.216.232	6
45.121.25.115	6
45.123.110.70	6
45.125.67.31	6
45.130.127.173	6
45.148.10.119	6
45.148.10.152	6
45.148.10.157	6
45.148.10.240	6
45.156.128.61	6
45.156.128.168	6
45.156.129.105	6
45.156.129.110	6
45.174.162.68	6
45.198.224.27	6
45.232.73.84	6
49.64.169.153	6
49.75.185.71	6
49.204.74.149	6
50.84.211.204	6
51.68.226.87	6
51.75.253.68	6
51.158.205.203	6
58.72.212.171	6
58.152.42.212	6
58.221.60.25	6
59.28.78.122	6
60.250.246.239	6
62.10.174.7	6
62.16.41.154	6
63.41.16.4	6
64.62.156.10	6
64.62.156.24	6
64.62.156.52	6
64.62.156.142	6
64.62.156.162	6
64.62.156.202	6
64.62.156.222	6
64.62.197.152	6
64.62.197.212	6
64.62.197.227	6
64.225.30.2	6
64.225.72.42	6
64.226.110.44	6
65.49.1.66	6
65.49.1.108	6
65.49.1.152	6
65.49.1.172	6
65.49.1.182	6
65.49.1.192	6
65.49.1.202	6
65.49.1.232	6
65.254.81.69	6
66.116.224.33	6
66.116.234.172	6
66.116.245.235	6
66.132.172.40	6
66.132.172.106	6
66.132.172.107	6
66.132.172.130	6
66.132.172.132	6
66.132.172.133	6
66.132.172.137	6
66.132.172.138	6
66.132.172.139	6
66.132.172.182	6
66.132.172.184	6
66.132.172.205	6
66.132.172.209	6
66.132.172.212	6
66.132.172.213	6
66.132.172.217	6
66.132.186.178	6
66.132.186.181	6
66.132.195.47	6
66.132.195.50	6
66.132.195.52	6
66.132.195.65	6
66.132.195.66	6
66.132.195.84	6
66.132.195.87	6
66.132.195.89	6
66.132.195.103	6
66.132.195.117	6
66.132.195.120	6
66.132.195.126	6
66.132.224.87	6
66.132.224.88	6
66.132.224.224	6
66.132.224.231	6
66.132.224.236	6
68.178.166.175	6
68.233.116.124	6
69.5.169.19	6
69.5.169.65	6
69.6.223.142	6
69.6.234.27	6
71.6.134.231	6
71.6.146.185	6
71.6.158.166	6
72.17.34.38	6
72.217.109.13	6
72.240.125.133	6
73.147.19.171	6
74.48.45.140	6
74.82.47.5	6
74.87.117.150	6
76.79.213.70	6
78.109.200.147	6
78.135.111.63	6
80.94.92.234	6
81.85.75.102	6
81.192.46.45	6
81.193.216.17	6
81.211.72.167	6
82.65.140.218	6
82.200.226.226	6
83.239.84.130	6
84.95.98.16	6
84.241.63.248	6
85.19.195.12	6
85.215.207.236	6
85.217.149.57	6
85.217.149.58	6
85.240.193.104	6
86.54.31.32	6
87.106.44.172	6
88.26.104.155	6
88.142.46.185	6
88.147.30.59	6
89.248.172.11	6
92.27.101.99	6
92.118.39.14	6
92.118.39.77	6
94.154.43.56	6
94.154.43.60	6
94.182.168.149	6
94.184.17.125	6
95.24.24.105	6
95.58.255.251	6
95.130.227.33	6
